"TRANSECT_ID" "n" "ICOV" "meanpopsize" "rangescore" "transect_lat" "transect_lon" "sppnum" "rangescore_2"
"1" "ES-CTBMS.1" 18 2.89814092580133 0.611581179302354 0.842572132439554 2150038.9375 3749692.875 33 0.709927798363737
"2" "ES-CTBMS.10" 12 5.82481838007087 0.641887598602721 0.680692116133912 2097284.33333333 3685801.88888889 55 0.463341756966863
"3" "ES-CTBMS.101" 13 3.24773471967561 0.332101181132362 0.963995359591542 1893915.875 3824065.125 22 0.929287053314026
"4" "ES-CTBMS.12" 18 3.70311299665824 0.945548433926361 0.424760000773278 2109096.53846154 3690232.69230769 75 0.180421058256915
"5" "ES-CTBMS.21" 18 2.42061398312616 0.403832117927674 0.800732524090549 2072112.8 3658256.4 33 0.641172575136421
"6" "ES-CTBMS.23" 18 4.30143647305431 1.11605359082524 0.887701817940428 2155904.66666667 3752079.66666667 34 0.788014517574741
"7" "ES-CTBMS.24" 15 5.19977877353322 0.693664948049459 0.41281389089767 2098075.2 3652597 74 0.170415308518073
"8" "ES-CTBMS.26" 10 4.08842780411089 0.811290665908127 0.751018302132647 2057367.5 3639148.125 55 0.564028490138204
"9" "ES-CTBMS.28" 18 3.24470977987504 1.6047085070835 0.330806437313465 2107423.61538462 3682023.46153846 76 0.109432898968027
"10" "ES-CTBMS.29" 18 2.42105913250089 0.620515320912054 0.668291302506939 2094132.44444444 3680835.77777778 48 0.446613265006422
"11" "ES-CTBMS.33" 18 2.28544272201551 1.10001519951 0.626305018402764 2088854.11111111 3691483.66666667 51 0.392257976076486
"12" "ES-CTBMS.34" 16 3.27412830064989 1.03273183409843 0.888437782033571 2075030 3671631.16666667 47 0.789321692544731
"13" "ES-CTBMS.40" 17 3.63722211327807 0.889375738516108 0.529578265593964 2117339 3649188.57142857 78 0.280453139389512
"14" "ES-CTBMS.42" 12 4.13996960292829 0.595092519939923 0.426810219930127 2137653.125 3648148.75 69 0.182166963836803
"15" "ES-CTBMS.48" 10 3.5064393740483 0.221084754866894 0.957053903046021 2065376 3525618 31 0.915952173335623
"16" "ES-CTBMS.5" 18 4.78392829466145 0.556601071927097 0.753641569694284 2168805.41666667 3729095.83333333 60 0.567975615571265
"17" "ES-CTBMS.51" 14 2.37456819790207 1.68135549256074 0.479716988191462 2067455.71428571 3576525 81 0.230128388759487
